Survived,Pclass,Sex,Age,Fare_log_winsorize,FamilySize,FarePerPerson,IsAlone,TickerFrequency,Pclass_Age,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior,FareGroup_Medium,FareGroup_High,FareGroup_Very High,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Embarked_Pclass_C_2,Embarked_Pclass_C_3,Embarked_Pclass_Q_1,Embarked_Pclass_Q_2,Embarked_Pclass_Q_3,Embarked_Pclass_S_1,Embarked_Pclass_S_2,Embarked_Pclass_S_3,Embarked_Pclass_nan_1
0,1.0,1,0.375,0.0011533288896247162,0.5,0.08669575778507244,0.0,0.0,0.49618320610687017,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0.0,0,0.6607142857142856,0.8259445297870113,0.5,0.6753116319620531,0.0,0.0,0.282442748091603,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1.0,0,0.4464285714285714,0.03103941418860856,0.0,0.27365162471168253,1.0,0.0,0.5877862595419847,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,0.0,0,0.6071428571428571,0.7158298823769237,0.5,0.5942068748513543,0.0,0.5,0.2595419847328244,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,1.0,1,0.6071428571428571,0.03632491771451707,0.0,0.27760711889789197,1.0,0.0,0.7938931297709924,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,1.0,1,0.4908370507995779,0.053094473852753454,0.0,0.2901568942381148,1.0,0.0,0.6447375918651076,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0,0.0,1,0.9464285714285713,0.7070361895147671,0.0,0.7795450181399586,1.0,0.0,0.4045801526717557,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,1.0,1,0.017857142857142856,0.375182933647341,1.0,0.12084104804648105,0.0,1.0,0.03816793893129771,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,1.0,0,0.46428571428571425,0.1477430567658713,1.0,0.09194144758118095,0.0,1.0,0.6106870229007634,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,0.5,0,0.23214285714285715,0.5050829447678536,0.5,0.4402909901263881,0.0,0.5,0.20610687022900762,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
